Price($),Milage,Badge
39841,35865,Fair Deal
26495,11750,Good Deal 
31994,15667,Good Deal
41498,44884,Fair Deal
42992,19672,Good Deal 
29999,85823,Good Deal
44777,16494,Fair Deal
45488,38204,Good Deal 
93935,31529,Fair Deal
21251,89798,Fair Deal
27139,33064,Fair Deal
24600,38170,Good Deal
31491,56981,Good Deal
32927,14708,Good Deal
28975,24160,Good Deal
25000,11134,Good Deal 
36981,11872,Good Deal
7995,190884,Good Deal
19989,23814,Good Deal
